Query ID,DB used,Query,(TAG baseline) Text2SQL Input,Query type,Knowledge/Reasoning Type,Answer
0,california_schools,"Among the schools with the average score in Math over 560 in the SAT test, how many schools are in the bay area?",List the schools with the average score in Math over 560 in the SAT test.,Match,Knowledge,71
1,california_schools,What is the telephone number for the school with the lowest average score in reading in Southern California?,List the telephone number for school ordered by average score in reading ascending ,Match,Knowledge,(562) 944-0033
3,california_schools,How many test takers are there at the school/s in a county with population over 2 million?,How many test takers are there at the school/s in a county with population over 2 million?,Match,Knowledge,244742
4,california_schools,What is the grade span offered in the school with the highest longitude in cities in that are part of the 'Silicon Valley' region?,What is the grade span offered in schools ordered by highest longitude,Match,Knowledge,K-5
5,california_schools,What are the two most common first names among the female school administrators?,List the names of school administrators from most common to least common,Match,Knowledge,"['Jennifer', 'Lisa']"
6,codebase_community,"Among the posts owned by csgillespie, how many of them are root posts and mention academic papers?",List the body of the root posts owned by csgillespie,Match,Reasoning,4
8,codebase_community,How many of the comments with a score of 17 are about statistics?,List the comments with a score of 17.,Match,Reasoning,4
10,codebase_community,"Of the posts with views above 80000, how many discuss the R programming language?",List the bodies of the posts with views above 80000,Match,Reasoning,3
11,formula_1,Please give the names of the races held on the circuits in the middle east.,List the names of races on circuits and their locations,Match,Knowledge,"['Bahrain Grand Prix', 'Turkish Grand Prix', 'Abu Dhabi Grand Prix', 'Azerbaijan Grand Prix', 'European Grand Prix']"
13,formula_1,How many Asian drivers competed in the 2008 Australian Grand Prix?,List the race of the drivers who competed in the 2008 Australian Grand Prix,Match,Knowledge,2
16,european_football_2,What is the preferred foot when attacking of the player with the most Ballon d'Or awards of all time?,What is the preferred foot when attacking of the player with the most Ballon d'Or awards of all time?,Match,Knowledge,left
18,european_football_2,List the football player with a birthyear of 1970 who is an Aquarius,List the football player with a birthyear of 1970 who is an Aquarius,Match,Knowledge,Hans Vonk
19,european_football_2,Please list the league from the country which is landlocked.,Please list the unique leagues and the country they are from,Match,Knowledge,Switzerland Super League
20,european_football_2,How many matches in the 2008/2009 season were held in countries where French is an official language?,List the matches from the 2008/2009 season and the countries they were held in,Match,Knowledge,866
21,european_football_2,"Of the top three away teams that scored the most goals, which one has the most fans?",List the top three away teams that scored the most goals,Match,Knowledge,FC Barcelona
24,debit_card_specializing,Which year recorded the most gas use paid in the higher value currency?,Which year recorded the most gas use paid in the higher value currency?,Match,Knowledge,2013
108,codebase_community,"Among the posts that were voted by user 1465, determine if the post is relevant to machine learning. Respond with YES if it is and NO if it is not.",,Match,Reasoning,"[""YES"", ""YES"", ""YES""]"
109,codebase_community,Extract the statistical term from the post titles which were edited by Vebjorn Ljosa.,,Match,Reasoning,"[""beta-binomial distribution"", ""AdaBoost"", ""SVM"", ""Kolmogorov-Smirnov statistic""]"
110,codebase_community,List the Comment Ids of the positive comments made by the top 5 newest users on the post with the title 'Analysing wind data with R',,Match,Reasoning,[11449]
111,codebase_community,"For the post from which the tag ""bayesian"" is excerpted from, identify whether the body of the post is True or False. Answer with True or False ONLY.",,Match,Reasoning,TRUE
25,codebase_community,"What is the average total price of the transactions taken place in gas stations in the country which is historically known as Bohemia, to the nearest integer?","What is the average total price of the transactions taken place in gas stations in the country which is historically known as Bohemia, to the nearest integer?",Comparison,Knowledge,
27,codebase_community,List the username of the oldest user located in the capital city of Austria who obtained the Supporter badge?,List the username of the oldest user located in the capital city of Austria who obtained the Supporter badge?,Comparison,Knowledge,ymihere
29,debit_card_specializing,What is the difference in gas consumption between customers who pay using the currency of the Czech Republic and who pay the currency of European Union in 2012, to the nearest integer?,What is the difference in gas consumption between customers who pay using the currency of the Czech Republic and who pay the currency of European Union in 2012, to the nearest integer?,Comparison,Knowledge,402524570
30,debit_card_specializing,Is it ture that more SMEs pay in Czech koruna than in the second-largest reserved currency in the world? ,Is it ture that more SMEs pay in Czech koruna than in the second-largest reserved currency in the world? ,Comparison,Knowledge,Yes
33,california_schools,"What is the total number of schools whose total SAT scores are greater or equal to 1500 whose mailing city is the county seat of Lake County, California?","What is the total number of schools whose total SAT scores are greater or equal to 1500 whose mailing city is the county seat of Lake County, California?",Comparison,Knowledge,2
35,formula_1,How many drivers born after the year of Vietnam War have been ranked 2?,How many drivers born after the year of Vietnam War have been ranked 2?,Comparison,Knowledge,27
36,formula_1,"Among all European Grand Prix races, what is the percentage of the races were hosted in the country where the Bundesliga happens, to the nearest whole number?","Among all European Grand Prix races, what is the percentage of the races were hosted in the country where the Bundesliga happens, to the nearest whole number?",Comparison,Knowledge,52
37,european_football_2,"From 2010 to 2015, what was the average overall rating, rounded to the nearest integer, of players who are higher than 170 and shorter than Michael Jordan?","From 2010 to 2015, what was the average overall rating, rounded to the nearest integer, of players who are higher than 170 and shorter than Michael Jordan?",Comparison,Knowledge,69
38,formula_1,"Among the drivers that finished the race in the 2008 Australian Grand Prix, how many debuted earlier than Lewis Hamilton?",List the names of the drivers who finished the race in the 2008 Australian Grand Prix ,Comparison,Knowledge,3
39,european_football_2,How many players were born after the year of the 14th FIFA World Cup?,How many players were born after the year of the 14th FIFA World Cup?,Comparison,Knowledge,3028
40,european_football_2,"Among the players whose height is over 180, how many of them have a volley score of over 70 and are taller than Stephen Curry?","Among the players whose height is over 180, how many of them have a volley score of over 70 and are taller than Stephen Curry?",Comparison,Knowledge,88
41,california_schools,Give the number of schools with the percent eligible for free meals in K-12 is more than 0.1 and test takers whose test score is greater than or equal to the score one hundred points less than the maximum.,Give the number of schools with the percent eligible for free meals in K-12 is more than 0.1 and test takers whose test score is greater than or equal to the score one hundred points less than the maximum.,Comparison,Knowledge,1
42,california_schools,How many schools have the difference in enrollements between K-12 and ages 5-17 as more than average high school class size?,How many schools have the difference in enrollements between K-12 and ages 5-17 as more than average high school class size?,Comparison,Knowledge,1236
43,codebase_community,"Among the users who have more than 100 upvotes, how many of them are older than the median age in America?","Among the users who have more than 100 upvotes, how many of them are older than the median age in America?",Comparison,Knowledge,32
44,european_football_2,Please list the player names taller than 6 foot 8?,Please list the player names taller than 6 foot 8?,Comparison,Knowledge,"[""Kristof van Hout""]"
45,european_football_2,How many players whose first names are Adam and weigh more than 77.1kg?,How many players whose first names are Adam and weigh more than 77.1kg?,Comparison,Knowledge,24
46,european_football_2,Please provide the names of top three football players who are over 5 foot 11 tall in alphabetical order.,Please provide the names of top three football players who are over 5 foot 11 tall in alphabetical order.,Comparison,Knowledge,"[""Aaron Appindangoye"", ""Aaron Galindo"", ""Aaron Hughes""]"
47,debit_card_specializing,How many transactions taken place in the gas station in the Czech Republic are with a price of over 42.74 US dollars?,How many transactions taken place in the gas station in the Czech Republic are with a price of over 42.74 US dollars?,Comparison,Knowledge,56
48,formula_1,"Which of these circuits is located closer to a capital city, Silverstone Circuit, Hockenheimring or Hungaroring?","List the names and latitude and longitude of the circuits Silverstone Circuit, Hockenheimring and Hungaroring",Comparison,Knowledge,Hungaroring
49,formula_1,Which race was Alex Yoong in when he was in the top half of finishers?,List the races and positions for Alex Yoong,Comparison,Knowledge,Australian Grand Prix
50,california_schools,"Among the magnet schools with SAT test takers of over 500, which school name sounds most futuristic?",List the names of the magnet schools with SAT test takers of over 500,Ranking,Reasoning,Polytechnic High
51,codebase_community,"Of the 5 posts wih highest popularity, list their titles in order of most technical to least technical.",List the body of the 5 posts with the highest popularity,Ranking,Reasoning,"How to interpret and report eta squared / partial eta squared in statistically significant and non-significant analyses?, How to interpret F- and p-value in ANOVA?, What is the meaning of p values and t values in statistical tests?, How to choose between Pearson and Spearman correlation?, How do I get the number of rows of a data.frame in R?"
52,codebase_community,What are the Post Ids of the top 2 posts in order of most grateful comments received on 9-14-2014,List the post ids and comments for the posts on 9-14-2014,Ranking,Reasoning,"[115372, 115254]"
53,codebase_community,"For the post owned by csgillespie with the highest popularity, what is the most sarcastic comment?",List the text of the comments on the post owned by csgillespie with the highest popularity,Ranking,Reasoning,"""That pirates / global warming chart is clearly cooked up by conspiracy theorists - anyone can see they have deliberately plotted even spacing for unequal time periods to avoid showing the recent sharp increase in temperature as pirates are almost entirely wiped out.
We all know that as temperatures rise it makes the rum evaporate and pirates cannot survive those conditions."""
54,codebase_community,"Among the top 10 most popular tags, which is the least related to statistics?",What are the top 10 most popular tags?,Ranking,Reasoning,self-study
55,codebase_community,"Of the top 10 most favorited posts, what is the Id of the most lighthearted post?",List the Id and body of the top 10 most favorited posts,Ranking,Reasoning,423
56,codebase_community,"Among the posts owned by a user over 65 with a score of over 10, what are the post id's of the top 2 posts made with the least expertise?",List the post id and body of the posts owned by a user over 65 with a score of over 10,Ranking,Reasoning,"[8485, 15670]"
57,codebase_community,"Among the badges obtained by csgillespie in 2011, which is the most creatively named?",List the names of the badges obtained by csgillespie in 2011.,Ranking,Reasoning,Strunk & White
58,codebase_community,"Of the posts owned by Yevgeny, what are the id's of the top 3 most pessimistic?",List the post id and body of the posts owned by Yevgeny,Ranking,Reasoning,"[23819, 24216, 35748]"
59,european_football_2,"Of the top 10 players taller than 180 ordered by average heading accuracy descending, what are the top 3 most unique sounding names?",List the names of the top 10 players taller than 180 ordered by average heading accuracy descending.,Ranking,Reasoning,"[""Naldo"", ""Per Mertesacker"", ""Didier Drogba""]"
60,codebase_community,"Out of users that have obtained at least 200 badges, what are the top 2 display names that seem most based off a real name?",List the users who have obtained at least 200 badges,Ranking,Reasoning,"[""Jeromy Anglim"", ""Glen_b""] "
106,codebase_community,"Of the top 5 users with the most views, who has their social media linked in their AboutMe section?",List the top 5 users with the most views.,Ranking,Reasoning,whuber
107,codebase_community,"Of all the comments commented by the user with a username of Harvey Motulsky and with a score of 5, rank the post ids in order of most helpful to least helpful",,Ranking,Reasoning,"[89457, 64710, 4945]"
61,california_schools,Of the cities containing exclusively virtual schools which are the top 3 safest places to live?,,Ranking,Knowledge,"[""Thousand Oaks"", ""Simi Valley"", ""Westlake Village""]"
62,california_schools,List the cities containing the top 5 most enrolled schools in order from most diverse to least diverse. ,,Ranking,Knowledge," [""Long Beach"", ""Paramount"", ""Granada Hills"", ""Temecula"", ""Carmichael""]"
63,california_schools,Please list the top three continuation schools with the lowest eligible free rates for students aged 5-17 and rank them based on the overall affordability of their respective cities.,,Ranking,Knowledge,"[""Del Amigo High (Continuation)"", ""Rancho del Mar High (Continuation)"", ""Millennium High Alternative""]"
64,california_schools,"Of the schools with the top 3 SAT excellence rate, which county of the schools has the strongest academic reputation?",,Ranking,Knowledge,Santa Clara County
65,california_schools,"Among the cities with the top 10 lowest enrollment for students in grades 1 through 12, which are the top 2 most popular cities to visit?",,Ranking,Knowledge,"[""Death Valley"", ""Shaver Lake""]"
952,formula_1,"Of the constructors that have been ranked 1 in 2014, which has the most prestige?",,Ranking,Knowledge,Ferrari
1000,formula_1,"Of the 5 racetracks that hosted the most recent races, rank the locations by distance to the equator.",,Ranking,Knowledge,"[""Mexico City"", ""Sao Paulo"", ""Abu Dhabi"", ""Austin"", ""Suzuka""]"
81,california_schools,Summarize the qualities of the schools with an average score in Math under 600 in the SAT test and are exclusively virtual.,List the schools with an average score in Math under 600 in the SAT test and are exclusively virtual.,Aggregation,Reasoning,
82,california_schools,Summarize the qualities of the schools in Riverside which the average math score for SAT is greater than 400.,List the schools in Riverside which the average math score for SAT is greater than 400.,Aggregation,Reasoning,
85,codebase_community,Summarize common characteristics of the titles of the posts owned by the user csgillespie.,List the titles of the posts owned by the user csgillespie.,Aggregation,Reasoning,
86,codebase_community,What qualities are represented by the badges obtained by csgillespie?,List by the badges obtained by csgillespie?,Aggregation,Reasoning,
87,codebase_community,"What is the average sentiment of the posts owned by the user csgillespie, Positive or Negative?","List the body of the posts owned by the user csgillespie, Positive or Negative?",Aggregation,Reasoning,
88,codebase_community,Summarize qualities of the comments made by user 'A Lion.',List the text of the comments made by user 'A Lion.',Aggregation,Reasoning,
89,codebase_community,Summarize the comments made on the post titled 'How does gentle boosting differ from AdaBoost?' to answer the original question,List the text of the comments of the post titled 'How does gentle boosting differ from AdaBoost?',Aggregation,Reasoning,
90,codebase_community,Summarize the issues described in the comments on Neil McGuigan's posts.,List the text of the comments on Neil McGuigan's posts.,Aggregation,Reasoning,
91,codebase_community,Summarize the comments added to the post with the highest score.,List the text of the comments on the post with the highest score.,Aggregation,Reasoning,
92,formula_1,Summarize the track characteristics of the circuits in Germany.,List the names of the circuits in Germany.,Aggregation,Reasoning,
93,formula_1,Summarize the track characteristics of the circuits in Spain.,List the names of the circuits in Spain.,Aggregation,Reasoning,
94,formula_1,Provide information about the races held on Sepang International Circuit.,List the names of races held on Sepang International Circuit.,Aggregation,Reasoning,
95,formula_1,Summarize the qualities of all the drivers who finished the game in race No. 872.,List the names of the drivers who finished the game in race No. 872.,Aggregation,Reasoning,
96,formula_1,"Summarize the track characteristiscs of the circuits in Lisbon, Portugal.","List the names of the circuits in Lisbon, Portugal.",Aggregation,Reasoning,
97,formula_1,Summarize the track characteristics of the US circuits.,List the names of the US circuits.,Aggregation,Reasoning,
99,formula_1,Summarize information about the French constructors that have a lap number of over 50.,List French constructors that have a lap number of over 50.,Aggregation,Reasoning,
100,formula_1,Summarize the track characteristics of the circuits in Italy.,List the track names of the circuits in Italy.,Aggregation,Reasoning,
101,european_football_2,Summarize attributes of the players with an overall rating of over 88 from 2008 to 2010?,List players with an overall rating of over 88 from 2008 to 2010?,Aggregation,Reasoning,
102,european_football_2,Identify common characteristics of the players whose volley score and dribbling score are over 87.,List the players whose volley score and dribbling score are over 87.,Aggregation,Reasoning,
103,european_football_2,Summarize attributes of the 10 heaviest players.,,Aggregation,Reasoning,
